section_name,score,clean_english,spanish,greek,clean_spanish,clean_greek
Group Chief Executive’s review,7.530078443864964,group chief executive review,Revisión del director ejecutivo del grupo,Αξιολόγηση του Διευθύνοντος Συμβούλου του Ομίλου,revisión director ejecutivo grupo,αξιολόγηση διευθύνοντος συμβούλου ομίλου
Our Strategy,7.366729938162239,strategy,Nuestra estrategia,Η Στρατηγική μας,estrategia,στρατηγική μας
Our business at a glance,7.170717867408143,business glance,Nuestro negocio de un vistazo,Η επιχείρησή μας με μια ματιά,negocio vistazo,επιχείρησή μας μια ματιά
Performance highlights,6.959163330532891,performance highlights,Aspectos destacados del rendimiento,Σημαντικά σημεία απόδοσης,aspectos destacados rendimiento,σημαντικά σημεία απόδοσης
Shareholder information,6.642050902705887,shareholder information,Información del accionista,Πληροφορίες για τους μετόχους,información accionista,πληροφορίες τους μετόχους
highlights,6.221415079590821,highlights,Destacar,καλύτερες στιγμές,destacar,καλύτερες στιγμές
Business review,6.129282925307448,business review,Revision del negocio,Επιχειρηματική κριτική,revision negocio,επιχειρηματική κριτική
chief executive’s review,5.647271215451453,chief executive review,revisión del director ejecutivo,κριτική του διευθύνοντος συμβούλου,revisión director ejecutivo,κριτική διευθύνοντος συμβούλου
Group Chief Executive’s Review,5.402062724981409,group chief executive review,Revisión del director ejecutivo del grupo,Ανασκόπηση του Διευθύνοντος Συμβούλου του Ομίλου,revisión director ejecutivo grupo,ανασκόπηση διευθύνοντος συμβούλου ομίλου
Operational Highlights,4.944203668904294,operational highlights,Aspectos destacados operativos,Λειτουργικά Χαρακτηριστικά,aspectos destacados operativos,λειτουργικά χαρακτηριστικά
Chairman’s Letter,4.917451478815092,chairman letter,Carta del presidente,Επιστολή Προέδρου,carta presidente,επιστολή προέδρου
Key performance indicators,4.906808958847741,key performance indicators,Indicadores clave de rendimiento,Βασικοί Δείκτες Απόδοσης,indicadores clave rendimiento,βασικοί δείκτες απόδοσης
Chief executive’s statement,4.750434304162364,chief executive statement,Declaración del presidente ejecutivo,Δήλωση του Διευθύνοντος Συμβούλου,declaración presidente ejecutivo,δήλωση διευθύνοντος συμβούλου
Key Highlights,4.424331953295128,key highlights,Puntos clave,Βασικά σημεία,puntos clave,βασικά σημεία
Financial and Operational Highlights,4.422359563331121,financial operational highlights,Aspectos destacados financieros y operativos,Οικονομικά και λειτουργικά στιγμιότυπα,aspectos destacados financieros operativos,οικονομικά λειτουργικά στιγμιότυπα
FINANCIAL HIGHLIGHTS,4.359456948760687,financial highlights,ASPECTOS FINANCIEROS MÁS DESTACADOS,ΟΙΚΟΝΟΜΙΚΑ ΣΤΟΙΧΕΙΑ,aspectos financieros destacados,οικονομικα στοιχεια
