section_name,score,clean_english,spanish,greek,clean_spanish,clean_greek
Performance,4.333107567833035,performance,Rendimiento,Εκτέλεση,rendimiento,εκτέλεση
Letter from the Chairman,4.134910382364798,letter chairman,Carta del presidente,Επιστολή του Προέδρου,carta presidente,επιστολή προέδρου
Services,4.104060223464228,services,Servicios,Υπηρεσίες,servicios,υπηρεσίες
Glossary,4.075330577546789,glossary,Glosario,Γλωσσάριο,glosario,γλωσσάριο
Sustainability,4.017065482572559,sustainability,Sustentabilidad,Βιωσιμότητα,sustentabilidad,βιωσιμότητα
Principal risks and uncertainties,3.956146150337891,principal risks uncertainties,Principales riesgos e incertidumbres,Κύριοι κίνδυνοι και αβεβαιότητες,principales riesgos incertidumbres,κύριοι κίνδυνοι αβεβαιότητες
Chairman's Statement,3.937250115676095,chairman statement,Declaración del presidente,Δήλωση Προέδρου,declaración presidente,δήλωση προέδρου
Operating review,3.920510985983445,operating review,Revisión operativa,Αναθεώρηση λειτουργίας,revisión operativa,αναθεώρηση λειτουργίας
Group Chief Executive’s Review,3.89544884242302,group chief executive review,Revisión del director ejecutivo del grupo,Ανασκόπηση του Διευθύνοντος Συμβούλου του Ομίλου,revisión director ejecutivo grupo,ανασκόπηση διευθύνοντος συμβούλου ομίλου
Our markets,3.6409563983892874,markets,Nuestros mercados,Οι αγορές μας,mercados,αγορές μας
Risk management,3.608206668988548,risk management,Gestión de riesgos,Διαχείριση κινδύνου,gestión riesgos,διαχείριση κινδύνου
Key Performance Indicators,3.438641062269084,key performance indicators,Indicadores clave de rendimiento,Βασικοί Δείκτες Απόδοσης,indicadores clave rendimiento,βασικοί δείκτες απόδοσης
Financial review,3.401685398535112,financial review,Revisión financiera,Οικονομικός απολογισμός,revisión financiera,οικονομικός απολογισμός
CEO’s Review,3.348526207578712,ceo review,Revisión del CEO,Αναθεώρηση CEO,revisión ceo,αναθεώρηση ceo
Strategy,3.2910051845510564,strategy,Estrategia,Στρατηγική,estrategia,στρατηγική
Five year summary,3.215188496990894,five year summary,Resumen de cinco años,Περίληψη πενταετίας,resumen cinco años,περίληψη πενταετίας
Five Year Summary,3.1253235066088263,five year summary,Resumen de cinco años,Περίληψη πενταετίας,resumen cinco años,περίληψη πενταετίας
Company Balance Sheet,3.031782011896858,company balance sheet,Balance de la empresa,Ισολογισμός Εταιρείας,balance empresa,ισολογισμός εταιρείας
Business model,3.0069472563487256,business model,modelo de negocio,Επιχειρηματικό μοντέλο,modelo negocio,επιχειρηματικό μοντέλο
Advisers,2.893284296241464,advisers,asesores,Σύμβουλοι,asesores,σύμβουλοι
Notice of Meeting,2.864835417133438,notice meeting,Aviso de reunión,Ανακοίνωση Συνέλευσης,aviso reunión,ανακοίνωση συνέλευσης
Chairman’s Introduction,2.756006547057092,chairman introduction,Introducción del presidente,Εισαγωγή Προέδρου,introducción presidente,εισαγωγή προέδρου
Corporate Governance,2.644105584671072,corporate governance,Gobierno Corporativo,Εταιρική Διακυβέρνηση,gobierno corporativo,εταιρική διακυβέρνηση
